region	gridX	gridY
WA	0	5
OR	0	4
NV	0	3
CA	0	2
MT	1	5
ID	1	4
UT	1	3
AZ	1	2
ND	2	5
WY	2	4
CO	2	3
NM	2	2
TX	2	1
SD	3	5
NE	3	4
KS	3	3
OK	3	2
LA	3	1
MN	4	5
IA	4	4
MO	4	3
AR	4	2
MS	4	1
WI	5	5
IN	5	4
IL	5	3
TN	5	2
AL	5	1
MI	6	5
OH	6	4
WV	6	3
KY	6	2
GA	6	1
FL	6	0
PA	7	4
Dist CO	7	3
VA	7	2
NC	7	1
SC	7	0
NJ	8	4
MD	8	3
NY	9	5
CT	9	4
DE	9	3
VT	10	6
MA	10	5
RI	10	4
ME	11	6
NH	11	5
