region	gridX	gridY
OR	0	6
NV	0	5
CA	0	4
WA	1	6
ID	1	5
UT	1	4
AZ	1	3
MT	2	6
WY	2	5
CO	2	4
NM	2	3
ND	3	6
SD	3	5
NE	3	4
KS	3	3
TX	3	2
MN	4	6
IA	4	5
MO	4	4
OK	4	3
LA	4	2
WI	5	5
IL	5	4
AR	5	3
MS	5	2
MI	6	6
OH	6	5
IN	6	4
KY	6	3
TN	6	2
MD	7	5
WV	7	4
VA	7	3
GA	7	2
AL	7	1
PA	8	6
DE	8	5
Dist CO	8	4
NC	8	3
SC	8	1
FL	8	0
NY	9	6
NJ	9	5
MA	10	7
CT	10	6
VT	11	8
RI	11	7
ME	12	9
NH	12	8
