region	gridX	gridY	red	green	blue
20	9	16	44	147	64
139	10	16	42	141	66
142	11	16	42	141	57
140	12	16	39	131	64
115	13	16	35	116	54
243	5	17	57	189	126
252	6	17	52	175	123
262	7	17	52	175	115
16	8	17	48	160	101
19	9	17	44	147	81
21	10	17	42	142	77
143	11	17	42	139	72
117	12	17	36	120	66
116	13	17	31	102	59
259	5	18	56	185	127
265	6	18	54	182	131
246	7	18	51	171	116
261	8	18	50	165	115
255	9	18	45	150	98
23	10	18	44	145	82
141	11	18	40	132	81
111	12	18	35	118	77
312	13	18	32	108	80
254	5	19	58	194	143
233	6	19	53	178	133
235	7	19	52	173	131
249	8	19	50	165	122
231	9	19	45	149	109
263	10	19	44	146	117
251	11	19	43	142	93
314	12	19	36	121	93
92	5	20	57	190	148
271	6	20	53	178	146
250	7	20	51	168	131
236	8	20	49	163	136
242	9	20	47	157	122
131	10	20	41	138	121
239	11	20	41	136	100
285	12	20	34	114	98
94	5	21	55	183	146
102	6	21	53	175	151
96	7	21	52	172	141
234	8	21	48	159	144
244	9	21	45	149	134
349	10	21	41	136	132
300	11	21	35	118	110
97	4	22	57	192	167
95	5	22	55	185	155
101	6	22	53	177	167
103	7	22	51	170	148
100	8	22	51	169	156
134	9	22	45	146	152
130	10	22	37	97	123
135	11	22	39	114	130
99	4	23	57	189	178
98	5	23	55	184	164
133	6	23	49	128	162
132	7	23	51	161	169
334	8	23	43	97	144
136	9	23	43	120	144
320	10	23	40	92	135
15	2	24	60	184	200
272	3	24	58	195	173
12	4	24	57	157	189
93	5	24	55	178	185
293	6	24	48	95	159
295	7	24	45	103	151
304	8	24	43	87	142
309	9	24	42	97	141
362	2	25	66	82	221
10	3	25	61	155	204
11	4	25	56	82	187
14	5	25	55	117	182
241	6	25	46	71	154
260	7	25	44	73	147
365	1	26	85	72	241
297	2	26	109	69	230
13	3	26	60	117	200
324	4	26	96	56	186
247	5	26	46	64	154
248	6	26	45	61	150
257	7	26	44	65	147
702	1	27	149	73	242
344	2	27	145	62	208
332	3	27	117	65	216
310	4	27	129	59	195
739	5	27	53	50	165
299	1	28	146	69	231
302	2	28	157	68	228
360	3	28	144	60	200
361	4	28	134	55	184
305	0	29	174	72	242
321	1	29	161	71	236
298	2	29	169	68	227
313	3	29	152	66	219
633	0	30	211	76	255
343	1	30	180	71	235
291	2	30	181	64	213
301	3	30	164	64	214
742	4	30	175	59	195
333	0	31	209	69	230
316	1	31	215	64	194
268	2	31	189	57	155
296	3	31	191	57	184
557	1	32	236	71	71
358	2	32	181	54	94
359	3	32	169	51	96
357	1	33	198	59	75
