WA	104.148	551.045	51	28	15
OR	87.027	512.322	83	33	25
MT	188.1441	528.462	45	70	21
ID	145.7786	495.305	97	92	29
WY	198.1578	481.09	61	109	33
NV	109.26	454.9351	131	79	39
CA	77.013	420.7626	159	48	48
UT	155.5822	442.6106	135	141	42
CO	209.9921	432.3868	66	150	45
NM	199.0681	380.0427	105	193	58
AZ	144.3431	386.6252	188	176	56
KS	276.4464	421.4629	48	159	124
NE	264.1569	456.966	39	129	86
SD	262.7914	491.558	30	100	66
ND	261.8811	527.972	21	70	45
MN	310.5838	511.13	25	75	84
IA	321.963	463.794	37	97	123
MO	330.1558	418.2767	48	114	161
OK	283.729	384.5944	57	189	162
TX	245.9497	348.85999	66	219	109
MI	397.521	482.0	57	33	108
IN	387.507	441.035	62	43	142
IL	364.512	451.4063	40	51	134
WI	344.107	494.606	29	56	98
PA	462.82	461.763	125	38	107
OH	416.638	447.8625	97	41	137
KY	398.886	412.3595	90	50	166
AL	393.347	344.8401	109	67	222
MS	363.358	347.73429	66	87	220
AR	331.9768	375.9462	59	136	196
LA	323.8687	348.44787	66	168	219
FL	447.589	305.3955	255	77	254
GA	421.644	357.73963	160	63	212
SC	455.401	366.6905	204	61	189
NC	462.609	398.2494	178	53	152
VA	461.699	423.7387	157	47	135
WV	439.851	432.3868	139	45	150
NY	479.1	489.353	102	31	72
ME	521.431	528.953	69	21	21
NH	504.96	519.654	77	23	35
VT	492.163	513.943	82	25	47
CT	501.244	475.939	113	34	56
MA	503.494	491.179	101	30	47
RI	513.877	479.504	110	33	41
NJ	492.3	457.036	129	39	74
DE	487.433	440.93	142	43	89
MD	464.758	445.217	139	42	116
TN	386.596	386.135	80	56	188
