GM0394	210.205	456.886	194	59	198
GM0396	205.381	510.684	154	61	202
GM0397	199.876	468.898	179	59	195
GM0398	235.64	551.496	121	64	215
GM0399	214.765	532.607	138	62	206
GM0400	222.419	613.348	61	61	203
GM0402	284.502	437.9	216	65	139
GM0405	269.939	546.329	129	69	229
GM0406	294.36	455.131	223	67	141
GM0415	247.448	494.98	198	65	217
GM0416	227.279	555.375	116	63	211
GM0417	292.068	443.867	219	66	134
GM0420	274.422	562.478	93	69	230
GM0424	270.413	463.645	220	66	181
GM0425	282.201	456.766	221	66	160
GM0431	240.041	495.375	191	64	215
GM0432	252.268	561.217	106	66	221
GM0437	245.495	454.636	210	63	189
GM0439	254.647	507.849	189	67	222
GM0441	221.256	578.723	92	62	207
GM0448	230.5	652.357	59	90	197
GM0450	217.645	513.447	157	62	207
GM0451	226.558	441.642	201	60	185
GM0453	202.477	495.061	164	60	199
GM0457	268.022	457.393	217	65	176
GM0458	232.378	532.783	143	64	214
GM0473	194.408	468.327	170	57	192
GM0478	260.404	521.569	172	68	225
GM0479	224.296	498.238	176	63	209
GM0482	206.404	348.638	172	52	130
GM0484	203.205	410.92	186	56	167
GM0489	184.624	345.474	165	50	133
GM0491	220.566	367.956	181	54	136
GM0498	284.384	548.217	120	71	235
GM0501	131.93	355.641	151	45	139
GM0502	193.336	366.367	173	52	142
GM0503	159.981	382.691	166	50	154
GM0505	213	327.896	168	50	118
GM0512	254.616	341.706	181	54	108
GM0513	213.029	386.285	184	55	149
GM0518	150.624	400.315	166	50	163
GM0523	235.276	340.369	177	53	116
GM0530	124.462	345.209	146	44	134
GM0531	202.17	342.959	169	51	128
GM0532	293.573	557.466	85	71	238
GM0534	193.854	456.945	181	57	191
GM0537	169.836	430.416	175	54	178
GM0542	196.679	361.266	173	52	138
GM0545	271.557	357.739	189	57	105
GM0546	179.318	421.62	180	54	176
GM0547	188.083	421.933	183	55	176
GM0553	188.959	446.681	182	56	188
GM0556	142.044	364.618	156	47	144
GM0568	140.4	340.528	151	45	133
GM0569	224.67	425.105	196	59	172
GM0575	180.422	445.138	173	55	184
GM0576	182.88	450.736	176	56	186
GM0579	177.274	429.299	180	54	181
GM0584	167.115	335.34	158	47	130
GM0585	185.977	331.432	162	49	126
GM0588	153.985	326.538	152	45	126
GM0589	237.459	389.125	191	57	141
GM0590	212.159	340.718	171	51	124
GM0597	195.626	349.787	169	51	133
GM0599	146.403	366.008	158	47	145
GM0603	154.389	392.214	166	50	159
GM0606	163.157	364.697	163	49	144
GM0608	235.09	370.051	185	56	131
GM0610	222.947	339.983	174	52	121
GM0611	173.391	318.767	155	47	122
GM0612	156.233	342.719	156	47	134
GM0613	170.719	345.892	161	48	134
GM0614	117.555	357.491	146	44	139
GM0617	188.159	318.582	159	48	119
GM0620	275.572	374.385	195	58	109
GM0622	154.24	362.478	160	48	143
GM0623	224.228	377.826	185	55	140
GM0626	172.062	414.162	176	53	172
GM0627	202.983	393.166	182	55	155
GM0629	162.054	417.483	173	52	173
GM0632	242.945	408.984	198	59	152
GM0637	179.744	398.065	176	53	162
GM0638	183.618	411.509	180	54	170
GM0642	197.002	338.019	167	50	127
GM0643	208.261	359.524	175	53	135
GM0644	206.924	371.478	178	53	142
GM0654	69.002	250.256	107	32	92
GM0664	77.3564	263.156	113	34	98
GM0668	335.165	344.836	189	61	57
GM0677	110.977	214.123	111	33	85
GM0678	96.3649	255.157	117	35	97
GM0687	46.4425	260.491	103	31	92
GM0689	247.372	350.317	182	55	115
GM0703	122.697	244.329	122	36	94
GM0707	260.361	365.18	189	57	115
GM0715	81.623	209.975	99	30	80
GM0716	122.55	276.733	130	39	106
GM0717	32.5263	269.858	100	30	93
GM0718	43.3992	258.5202	99	30	88
GM0733	272.027	343.906	184	55	99
GM0736	245.972	438.852	206	62	174
GM0737	404.735	682.689	59	196	123
GM0738	268.166	318.448	176	53	92
GM0743	379.606	228.542	147	63	44
GM0744	242.086	246.086	147	44	79
GM0748	152.553	264.968	132	40	100
GM0753	319.655	260.227	160	48	53
GM0755	365.982	283.61	167	69	50
GM0756	405.743	287.562	164	88	49
GM0757	308.754	276.4	165	50	61
GM0758	220.634	278.534	155	47	96
GM0762	387.007	241.053	151	69	45
GM0765	557.323	652.604	58	151	45
GM0766	250.961	291.02	164	49	91
GM0770	306.843	230.906	150	45	54
GM0772	329.42	244.306	155	46	47
GM0777	202.455	277.001	151	45	100
GM0779	239.562	306.428	167	50	100
GM0784	245.094	271.958	157	47	87
GM0785	262.685	259.885	156	47	77
GM0786	373.497	317.911	178	82	53
GM0788	291.865	288.39	168	50	71
GM0794	360.374	250.918	156	60	47
GM0796	308.542	310.628	177	53	67
GM0797	282.898	306.114	173	52	80
GM0798	280.425	251.747	155	46	68
GM0809	265.31	292.117	167	50	85
GM0815	377.462	303.48	172	80	52
GM0820	343.569	251.481	157	53	47
